x utau delta99 delta* theta beta Ue Reth 
2.65136719e+02 4.86611123e-02 9.63863609e+00 1.84381908e+00 1.17793694e+00 1.75870677e-01 9.75717303e-01 5.17200053e+02
2.66601562e+02 4.86015296e-02 9.67044457e+00 1.85147981e+00 1.18282524e+00 1.79911230e-01 9.75385577e-01 5.19169806e+02
2.68066406e+02 4.85412484e-02 9.70506067e+00 1.86192929e+00 1.19049376e+00 1.84374726e-01 9.75030884e-01 5.22345681e+02
2.69531250e+02 4.84798309e-02 9.73914431e+00 1.86947728e+00 1.19531009e+00 1.88561113e-01 9.74649569e-01 5.24253807e+02
2.70996094e+02 4.84175873e-02 9.77296758e+00 1.87710052e+00 1.20016645e+00 1.92819520e-01 9.74266605e-01 5.26176942e+02
2.72460938e+02 4.83553182e-02 9.80659493e+00 1.88480381e+00 1.20506643e+00 1.97171158e-01 9.73882411e-01 5.28116849e+02
2.73925781e+02 4.82939496e-02 9.84003048e+00 1.89258601e+00 1.21000950e+00 2.01649749e-01 9.73496751e-01 5.30073144e+02
2.75390625e+02 4.82340032e-02 9.87330834e+00 1.90044859e+00 1.21499681e+00 2.06209687e-01 9.73109669e-01 5.32046314e+02
2.76855469e+02 4.81737197e-02 9.90647752e+00 1.90839538e+00 1.22003051e+00 2.10848806e-01 9.72721455e-01 5.34037435e+02
2.78320312e+02 4.81116677e-02 9.93953993e+00 1.91642753e+00 1.22511081e+00 2.15616102e-01 9.72332108e-01 5.36046561e+02
2.79785156e+02 4.80482724e-02 9.97254401e+00 1.92454907e+00 1.23024111e+00 2.20517306e-01 9.71941988e-01 5.38075345e+02
2.81250000e+02 4.79838703e-02 1.00055661e+01 1.93276499e+00 1.23542620e+00 2.25565067e-01 9.71551593e-01 5.40126132e+02
2.82714844e+02 4.79191032e-02 1.00408288e+01 1.94390673e+00 1.24349487e+00 2.31173280e-01 9.71152135e-01 5.43430215e+02
2.84179688e+02 4.78544896e-02 1.00765592e+01 1.95204305e+00 1.24864068e+00 2.36409515e-01 9.70713487e-01 5.45432557e+02
2.85644531e+02 4.77898935e-02 1.01121187e+01 1.96026892e+00 1.25383756e+00 2.41748470e-01 9.70273003e-01 5.47454129e+02
2.87109375e+02 4.77252496e-02 1.01475703e+01 1.96859077e+00 1.25908775e+00 2.47153246e-01 9.69831249e-01 5.49496190e+02
2.88574219e+02 4.76604089e-02 1.01829618e+01 1.97701410e+00 1.26439382e+00 2.52632121e-01 9.69388723e-01 5.51560100e+02
2.90039062e+02 4.75948120e-02 1.02182898e+01 1.98553793e+00 1.26975476e+00 2.58234323e-01 9.68945198e-01 5.53645250e+02
2.91503906e+02 4.75290450e-02 1.02535605e+01 1.99416430e+00 1.27517284e+00 2.63937786e-01 9.68500749e-01 5.55752635e+02
2.92968750e+02 4.74637310e-02 1.02887893e+01 2.00289650e+00 1.28065046e+00 2.69705310e-01 9.68055576e-01 5.57883367e+02
2.94433594e+02 4.73979210e-02 1.03239442e+01 2.01173105e+00 1.28618405e+00 2.75584194e-01 9.67609142e-01 5.60035552e+02
