x utau delta99 delta* theta beta Ue Reth 
2.65136719e+02 4.92065730e-02 9.54128585e+00 1.80161648e+00 1.15347166e+00 1.30481204e-01 9.79056388e-01 5.08191211e+02
2.66601562e+02 4.91572738e-02 9.57272002e+00 1.80848979e+00 1.15794811e+00 1.33140448e-01 9.78772231e-01 5.10015354e+02
2.68066406e+02 4.91085955e-02 9.60405447e+00 1.81542240e+00 1.16246067e+00 1.35820245e-01 9.78489333e-01 5.11854917e+02
2.69531250e+02 4.90601953e-02 9.63531223e+00 1.82241560e+00 1.16700895e+00 1.38536624e-01 9.78207780e-01 5.13709754e+02
2.70996094e+02 4.90112612e-02 9.66650557e+00 1.82947256e+00 1.17159345e+00 1.41303275e-01 9.77927863e-01 5.15580245e+02
2.72460938e+02 4.89615725e-02 9.69766680e+00 1.83659600e+00 1.17621500e+00 1.44114653e-01 9.77649837e-01 5.17466882e+02
2.73925781e+02 4.89119467e-02 9.72880602e+00 1.84378568e+00 1.18087244e+00 1.46965772e-01 9.77373613e-01 5.19369102e+02
2.75390625e+02 4.88618092e-02 9.76210289e+00 1.85406699e+00 1.18858087e+00 1.50249706e-01 9.77091698e-01 5.22608623e+02
2.76855469e+02 4.88098999e-02 9.79575409e+00 1.86109796e+00 1.19313722e+00 1.53220485e-01 9.76767970e-01 5.24438201e+02
2.78320312e+02 4.87560808e-02 9.82906645e+00 1.86818059e+00 1.19772002e+00 1.56202859e-01 9.76443559e-01 5.26277700e+02
2.79785156e+02 4.87011190e-02 9.86209018e+00 1.87531808e+00 1.20233301e+00 1.59249132e-01 9.76118730e-01 5.28128897e+02
2.81250000e+02 4.86462322e-02 9.89488692e+00 1.88251465e+00 1.20698028e+00 1.62370145e-01 9.75793901e-01 5.29993798e+02
2.82714844e+02 4.85921116e-02 9.92748843e+00 1.88977306e+00 1.21166365e+00 1.65531580e-01 9.75469352e-01 5.31873339e+02
2.84179688e+02 4.85390761e-02 9.95993585e+00 1.89709601e+00 1.21638454e+00 1.68733730e-01 9.75145353e-01 5.33768279e+02
2.85644531e+02 4.84868484e-02 9.99225013e+00 1.90448369e+00 1.22114302e+00 1.71997677e-01 9.74821866e-01 5.35678613e+02
2.87109375e+02 4.84342953e-02 1.00244533e+01 1.91193817e+00 1.22594024e+00 1.75326513e-01 9.74499055e-01 5.37604922e+02
2.88574219e+02 4.83811661e-02 1.00565527e+01 1.91945906e+00 1.23077541e+00 1.78701051e-01 9.74176819e-01 5.39546792e+02
2.90039062e+02 4.83281402e-02 1.00885386e+01 1.92704455e+00 1.23564686e+00 1.82118705e-01 9.73854906e-01 5.41503341e+02
2.91503906e+02 4.82759048e-02 1.01204202e+01 1.93469587e+00 1.24055488e+00 1.85574400e-01 9.73533406e-01 5.43474727e+02
2.92968750e+02 4.82239474e-02 1.01557625e+01 1.94535021e+00 1.24848687e+00 1.89526110e-01 9.73181054e-01 5.46751698e+02
2.94433594e+02 4.81710882e-02 1.01900021e+01 1.95283796e+00 1.25329547e+00 1.93058259e-01 9.72810094e-01 5.48648317e+02
2.95898438e+02 4.81174342e-02 1.02239502e+01 1.96038517e+00 1.25813508e+00 1.96639570e-01 9.72438107e-01 5.50556323e+02
2.97363281e+02 4.80637355e-02 1.02576546e+01 1.96799579e+00 1.26300829e+00 2.00279469e-01 9.72065483e-01 5.52477045e+02
2.98828125e+02 4.80095360e-02 1.02911531e+01 1.97567242e+00 1.26791639e+00 2.03981670e-01 9.71692474e-01 5.54411166e+02
3.00292969e+02 4.79536010e-02 1.03244788e+01 1.98341635e+00 1.27285956e+00 2.07741299e-01 9.71319179e-01 5.56358806e+02
