x utau delta99 delta* theta beta Ue Reth 
2.00683594e+02 5.11716864e-02 8.18633035e+00 1.52391902e+00 9.66344892e-01 8.09001157e-02 9.83578171e-01 4.27714084e+02
2.02148438e+02 5.11087895e-02 8.21959998e+00 1.53029072e+00 9.70539673e-01 8.26602967e-02 9.83313182e-01 4.29455004e+02
2.03613281e+02 5.10458609e-02 8.25253497e+00 1.53670856e+00 9.74760973e-01 8.44208787e-02 9.83051391e-01 4.31208059e+02
2.05078125e+02 5.09832471e-02 8.28514298e+00 1.54317438e+00 9.79009741e-01 8.61960813e-02 9.82792925e-01 4.32973731e+02
2.06542969e+02 5.09200300e-02 8.31741622e+00 1.54968639e+00 9.83284883e-01 8.80617822e-02 9.82537495e-01 4.34751420e+02
2.08007812e+02 5.08564212e-02 8.34943349e+00 1.55624143e+00 9.87584705e-01 8.99765482e-02 9.82284755e-01 4.36540230e+02
2.09472656e+02 5.07941487e-02 8.38111796e+00 1.56283264e+00 9.91904234e-01 9.18682791e-02 9.82033675e-01 4.38337512e+02
2.10937500e+02 5.07325673e-02 8.41240196e+00 1.56946161e+00 9.96243403e-01 9.38106304e-02 9.81784309e-01 4.40143263e+02
2.12402344e+02 5.06702913e-02 8.44566956e+00 1.57889161e+00 1.00335230e+00 9.60482370e-02 9.81530524e-01 4.43169411e+02
2.13867188e+02 5.06075522e-02 8.47959571e+00 1.58535681e+00 1.00758928e+00 9.80768342e-02 9.81234650e-01 4.44906680e+02
2.15332031e+02 5.05441714e-02 8.51298669e+00 1.59185400e+00 1.01184187e+00 1.00091927e-01 9.80939160e-01 4.46649891e+02
2.16796875e+02 5.04805315e-02 8.54594408e+00 1.59838853e+00 1.01611515e+00 1.02083886e-01 9.80644664e-01 4.48401555e+02
2.18261719e+02 5.04175698e-02 8.57854366e+00 1.60496818e+00 1.02041581e+00 1.04141612e-01 9.80352126e-01 4.50165062e+02
2.19726562e+02 5.03560927e-02 8.61074624e+00 1.61159011e+00 1.02474241e+00 1.06209080e-01 9.80061171e-01 4.51939612e+02
2.21191406e+02 5.02963658e-02 8.64252933e+00 1.61824791e+00 1.02909121e+00 1.08282326e-01 9.79770932e-01 4.53723144e+02
2.22656250e+02 5.02372154e-02 8.67388179e+00 1.62494313e+00 1.03346314e+00 1.10399771e-01 9.79481513e-01 4.55516118e+02
2.24121094e+02 5.01777230e-02 8.70483409e+00 1.63167865e+00 1.03785938e+00 1.12543016e-01 9.79193190e-01 4.57319178e+02
2.25585938e+02 5.01192500e-02 8.73541550e+00 1.63845211e+00 1.04227786e+00 1.14687017e-01 9.78905540e-01 4.59131205e+02
2.27050781e+02 5.00626044e-02 8.76563926e+00 1.64526425e+00 1.04671818e+00 1.16849132e-01 9.78618541e-01 4.60952019e+02
2.28515625e+02 5.00069870e-02 8.79959509e+00 1.65477833e+00 1.05388940e+00 1.19339110e-01 9.78298236e-01 4.63958165e+02
2.29980469e+02 4.99521795e-02 8.83234864e+00 1.66144158e+00 1.05824163e+00 1.21544571e-01 9.77966212e-01 4.65716051e+02
2.31445312e+02 4.98969841e-02 8.86496704e+00 1.66816879e+00 1.06263242e+00 1.23760135e-01 9.77637420e-01 4.67491146e+02
2.32910156e+02 4.98404830e-02 8.89748081e+00 1.67496095e+00 1.06706227e+00 1.26042271e-01 9.77311924e-01 4.69283708e+02
2.34375000e+02 4.97820266e-02 8.92991469e+00 1.68181920e+00 1.07153255e+00 1.28380885e-01 9.76989866e-01 4.71094398e+02
2.35839844e+02 4.97219229e-02 8.96224821e+00 1.68873780e+00 1.07603942e+00 1.30809884e-01 9.76670640e-01 4.72921250e+02
2.37304688e+02 4.96613053e-02 8.99441773e+00 1.69570598e+00 1.08057568e+00 1.33309408e-01 9.76353027e-01 4.74760500e+02
2.38769531e+02 4.96012297e-02 9.02644224e+00 1.70272523e+00 1.08514357e+00 1.35776586e-01 9.76037180e-01 4.76613212e+02
2.40234375e+02 4.95420240e-02 9.05835936e+00 1.70980207e+00 1.08974698e+00 1.38243167e-01 9.75723845e-01 4.78481449e+02
2.41699219e+02 4.94831059e-02 9.09021190e+00 1.71694178e+00 1.09438650e+00 1.40753302e-01 9.75413590e-01 4.80365759e+02
2.43164062e+02 4.94246842e-02 9.12447334e+00 1.72697225e+00 1.10188343e+00 1.43615515e-01 9.75096831e-01 4.83499368e+02
2.44628906e+02 4.93672164e-02 9.15917592e+00 1.73397628e+00 1.10643924e+00 1.46130772e-01 9.74742176e-01 4.85321844e+02
2.46093750e+02 4.93103332e-02 9.19338467e+00 1.74103203e+00 1.11102286e+00 1.48744450e-01 9.74388164e-01 4.87155384e+02
2.47558594e+02 4.92539217e-02 9.22716898e+00 1.74814048e+00 1.11563588e+00 1.51374525e-01 9.74034913e-01 4.89000732e+02
2.49023438e+02 4.91976517e-02 9.26063452e+00 1.75530899e+00 1.12028377e+00 1.53996980e-01 9.73683319e-01 4.90860729e+02
2.50488281e+02 4.91414177e-02 9.29375971e+00 1.76253200e+00 1.12496269e+00 1.56748595e-01 9.73332758e-01 4.92733369e+02
2.51953125e+02 4.90865912e-02 9.32652547e+00 1.76980222e+00 1.12966834e+00 1.59582418e-01 9.72982424e-01 4.94616349e+02
2.53417969e+02 4.90336708e-02 9.35900005e+00 1.77712435e+00 1.13440284e+00 1.62359609e-01 9.72632878e-01 4.96510876e+02
2.54882812e+02 4.89798475e-02 9.39126682e+00 1.78450601e+00 1.13916720e+00 1.65128817e-01 9.72284941e-01 4.98417800e+02
2.56347656e+02 4.89227274e-02 9.42337914e+00 1.79195023e+00 1.14395945e+00 1.67961661e-01 9.71938886e-01 5.00336403e+02
2.57812500e+02 4.88619315e-02 9.45637462e+00 1.80244301e+00 1.15171030e+00 1.71268719e-01 9.71606428e-01 5.03554110e+02
2.59277344e+02 4.87979548e-02 9.49153682e+00 1.80976267e+00 1.15641136e+00 1.74222018e-01 9.71217455e-01 5.05407102e+02
2.60742188e+02 4.87329771e-02 9.52643607e+00 1.81714513e+00 1.16114160e+00 1.77224364e-01 9.70829680e-01 5.07271827e+02
2.62207031e+02 4.86684310e-02 9.56104457e+00 1.82458894e+00 1.16590271e+00 1.80256584e-01 9.70442875e-01 5.09148889e+02
