x utau delta99 delta* theta beta Ue Reth 
2.00683594e+02 5.05734716e-02 8.44341176e+00 1.55944264e+00 9.92224937e-01 1.36724596e-01 9.73104219e-01 4.34492223e+02
2.02148438e+02 5.04994698e-02 8.47997214e+00 1.56649571e+00 9.96813569e-01 1.39214512e-01 9.72692559e-01 4.36316913e+02
2.03613281e+02 5.04266180e-02 8.51598674e+00 1.57359617e+00 1.00142955e+00 1.41719137e-01 9.72282131e-01 4.38152428e+02
2.05078125e+02 5.03536856e-02 8.55165531e+00 1.58075829e+00 1.00608260e+00 1.44259864e-01 9.71874856e-01 4.40003872e+02
2.06542969e+02 5.02804440e-02 8.58702414e+00 1.58798650e+00 1.01077705e+00 1.46849180e-01 9.71471353e-01 4.41873427e+02
2.08007812e+02 5.02072341e-02 8.62212732e+00 1.59527624e+00 1.01551004e+00 1.49456839e-01 9.71071063e-01 4.43759588e+02
2.09472656e+02 5.01346443e-02 8.65694617e+00 1.60262183e+00 1.02027639e+00 1.52087769e-01 9.70673263e-01 4.45659754e+02
2.10937500e+02 5.00632548e-02 8.69152110e+00 1.61003325e+00 1.02508117e+00 1.54716813e-01 9.70279218e-01 4.47576730e+02
2.12402344e+02 4.99924594e-02 8.72594897e+00 1.61752069e+00 1.02992800e+00 1.57321431e-01 9.69890189e-01 4.49512677e+02
2.13867188e+02 4.99206485e-02 8.76020419e+00 1.62507788e+00 1.03480904e+00 1.59957437e-01 9.69505230e-01 4.51463751e+02
2.15332031e+02 4.98477706e-02 8.79709162e+00 1.63564047e+00 1.04266855e+00 1.63036440e-01 9.69108156e-01 4.54706369e+02
2.16796875e+02 4.97748034e-02 8.83410508e+00 1.64302454e+00 1.04743533e+00 1.65713872e-01 9.68672003e-01 4.56579577e+02
2.18261719e+02 4.97018982e-02 8.87062486e+00 1.65046706e+00 1.05223617e+00 1.68426712e-01 9.68237569e-01 4.58466568e+02
2.19726562e+02 4.96297114e-02 8.90660919e+00 1.65796319e+00 1.05706870e+00 1.71210463e-01 9.67804339e-01 4.60366055e+02
2.21191406e+02 4.95583410e-02 8.94208871e+00 1.66550816e+00 1.06192875e+00 1.74058894e-01 9.67371880e-01 4.62276007e+02
2.22656250e+02 4.94860665e-02 8.97723678e+00 1.67310965e+00 1.06682023e+00 1.76928254e-01 9.66941242e-01 4.64198613e+02
2.24121094e+02 4.94126297e-02 9.01206413e+00 1.68076963e+00 1.07174548e+00 1.79846685e-01 9.66512653e-01 4.66135006e+02
2.25585938e+02 4.93398504e-02 9.04645867e+00 1.68848083e+00 1.07670095e+00 1.82818117e-01 9.66085159e-01 4.68083162e+02
2.27050781e+02 4.92688491e-02 9.08049692e+00 1.69624867e+00 1.08169041e+00 1.85792162e-01 9.65659425e-01 4.70045043e+02
2.28515625e+02 4.91998182e-02 9.11435010e+00 1.70408350e+00 1.08672017e+00 1.88784111e-01 9.65236835e-01 4.72024050e+02
2.29980469e+02 4.91317862e-02 9.14968017e+00 1.71507241e+00 1.09484284e+00 1.92224526e-01 9.64820171e-01 4.75346905e+02
2.31445312e+02 4.90634798e-02 9.18621729e+00 1.72273243e+00 1.09976434e+00 1.95234311e-01 9.64347995e-01 4.77249992e+02
2.32910156e+02 4.89951082e-02 9.22210357e+00 1.73043556e+00 1.10470703e+00 1.98294083e-01 9.63875324e-01 4.79159929e+02
2.34375000e+02 4.89262534e-02 9.25748684e+00 1.73818677e+00 1.10967362e+00 2.01390769e-01 9.63402767e-01 4.81078186e+02
2.35839844e+02 4.88553220e-02 9.29243446e+00 1.74598639e+00 1.11466445e+00 2.04568799e-01 9.62930399e-01 4.83004926e+02
2.37304688e+02 4.87822952e-02 9.32708302e+00 1.75384012e+00 1.11968471e+00 2.07828068e-01 9.62458940e-01 4.84942753e+02
2.38769531e+02 4.87084205e-02 9.36141822e+00 1.76174913e+00 1.12473792e+00 2.11143164e-01 9.61988478e-01 4.86893214e+02
2.40234375e+02 4.86365015e-02 9.39543780e+00 1.76971734e+00 1.12982907e+00 2.14459031e-01 9.61519502e-01 4.88858707e+02
2.41699219e+02 4.85673869e-02 9.42929596e+00 1.77775260e+00 1.13496346e+00 2.17776055e-01 9.61052963e-01 4.90841999e+02
2.43164062e+02 4.84996637e-02 9.46302436e+00 1.78585371e+00 1.14013849e+00 2.21173144e-01 9.60588675e-01 4.92841854e+02
2.44628906e+02 4.84327940e-02 9.49653594e+00 1.79401267e+00 1.14534637e+00 2.24632079e-01 9.60125691e-01 4.94854414e+02
2.46093750e+02 4.83664771e-02 9.53257568e+00 1.80529264e+00 1.15364695e+00 2.28641290e-01 9.59653147e-01 4.98195416e+02
2.47558594e+02 4.82999265e-02 9.56897215e+00 1.81328794e+00 1.15875567e+00 2.32084670e-01 9.59142542e-01 5.00135337e+02
2.49023438e+02 4.82332434e-02 9.60502033e+00 1.82134661e+00 1.16390188e+00 2.35462526e-01 9.58633136e-01 5.02089711e+02
2.50488281e+02 4.81663574e-02 9.64094374e+00 1.82948033e+00 1.16909330e+00 2.38858721e-01 9.58126137e-01 5.04062480e+02
2.51953125e+02 4.80985832e-02 9.67668121e+00 1.83768721e+00 1.17432665e+00 2.42338583e-01 9.57621278e-01 5.06052083e+02
2.53417969e+02 4.80304786e-02 9.71221326e+00 1.84596840e+00 1.17960246e+00 2.45864403e-01 9.57118741e-01 5.08058830e+02
2.54882812e+02 4.79631572e-02 9.74755178e+00 1.85432408e+00 1.18492008e+00 2.49399926e-01 9.56618466e-01 5.10082391e+02
2.56347656e+02 4.78959774e-02 9.78275743e+00 1.86276028e+00 1.19028133e+00 2.52995289e-01 9.56121069e-01 5.12123875e+02
2.57812500e+02 4.78283521e-02 9.81780806e+00 1.87127245e+00 1.19568392e+00 2.56678525e-01 9.55626083e-01 5.14182032e+02
2.59277344e+02 4.77612817e-02 9.85268015e+00 1.87985641e+00 1.20112809e+00 2.60343704e-01 9.55133081e-01 5.16256727e+02
2.60742188e+02 4.76956151e-02 9.88744550e+00 1.88851875e+00 1.20661884e+00 2.64035330e-01 9.54642828e-01 5.18350511e+02
2.62207031e+02 4.76314927e-02 9.92619499e+00 1.90026462e+00 1.21520494e+00 2.68436453e-01 9.54126289e-01 5.21756542e+02
2.63671875e+02 4.75678980e-02 9.96412349e+00 1.90878411e+00 1.22061504e+00 2.72139527e-01 9.53589776e-01 5.23784710e+02
2.65136719e+02 4.75025470e-02 1.00015822e+01 1.91736440e+00 1.22605659e+00 2.75897044e-01 9.53053220e-01 5.25823730e+02
2.66601562e+02 4.74349174e-02 1.00387192e+01 1.92602161e+00 1.23153931e+00 2.79683273e-01 9.52518336e-01 5.27878699e+02
2.68066406e+02 4.73662144e-02 1.00757491e+01 1.93477392e+00 1.23707603e+00 2.83523399e-01 9.51987217e-01 5.29956257e+02
2.69531250e+02 4.72970557e-02 1.01127537e+01 1.94361802e+00 1.24266393e+00 2.87479866e-01 9.51459648e-01 5.32055064e+02
2.70996094e+02 4.72269885e-02 1.01496333e+01 1.95253982e+00 1.24829010e+00 2.91545287e-01 9.50934089e-01 5.34168725e+02
2.72460938e+02 4.71543095e-02 1.01864085e+01 1.96154754e+00 1.25395781e+00 2.95649205e-01 9.50411438e-01 5.36299130e+02
2.73925781e+02 4.70795872e-02 1.02231073e+01 1.97064499e+00 1.25967204e+00 2.99793106e-01 9.49892060e-01 5.38448609e+02
2.75390625e+02 4.70058329e-02 1.02596652e+01 1.97982816e+00 1.26543321e+00 3.04037429e-01 9.49375403e-01 5.40617023e+02
2.76855469e+02 4.69343170e-02 1.02987838e+01 1.99225553e+00 1.27440163e+00 3.08981816e-01 9.48850582e-01 5.44147526e+02
2.78320312e+02 4.68643069e-02 1.03384218e+01 2.00128698e+00 1.28007576e+00 3.13234978e-01 9.48286303e-01 5.46245241e+02
2.79785156e+02 4.67940648e-02 1.03775855e+01 2.01039350e+00 1.28579162e+00 3.17566270e-01 9.47722839e-01 5.48358338e+02
2.81250000e+02 4.67222637e-02 1.04163724e+01 2.01958197e+00 1.29155294e+00 3.21984139e-01 9.47160957e-01 5.50488833e+02
2.82714844e+02 4.66496845e-02 1.04547719e+01 2.02884790e+00 1.29735796e+00 3.26443840e-01 9.46600188e-01 5.52635679e+02
2.84179688e+02 4.65782192e-02 1.04927998e+01 2.03819213e+00 1.30320883e+00 3.30929882e-01 9.46040671e-01 5.54799850e+02
2.85644531e+02 4.65085988e-02 1.05304519e+01 2.04760914e+00 1.30910106e+00 3.35499362e-01 9.45481910e-01 5.56979116e+02
2.87109375e+02 4.64398291e-02 1.05678209e+01 2.05709991e+00 1.31503434e+00 3.40073724e-01 9.44924101e-01 5.59173437e+02
2.88574219e+02 4.63710199e-02 1.06049667e+01 2.06667106e+00 1.32101293e+00 3.44634269e-01 9.44367996e-01 5.61385052e+02
2.90039062e+02 4.63023354e-02 1.06418421e+01 2.07631973e+00 1.32703445e+00 3.49302396e-01 9.43813309e-01 5.63612750e+02
2.91503906e+02 4.62342040e-02 1.06801740e+01 2.08935679e+00 1.33636794e+00 3.54911277e-01 9.43265056e-01 5.67247131e+02
2.92968750e+02 4.61673419e-02 1.07205579e+01 2.09885650e+00 1.34230943e+00 3.59571766e-01 9.42664430e-01 5.69406311e+02
2.94433594e+02 4.61027795e-02 1.07607297e+01 2.10844769e+00 1.34830781e+00 3.64213731e-01 9.42066069e-01 5.71587765e+02
2.95898438e+02 4.60402255e-02 1.08006570e+01 2.11812999e+00 1.35436065e+00 3.68847340e-01 9.41469877e-01 5.73790389e+02
2.97363281e+02 4.59776889e-02 1.08404174e+01 2.12790678e+00 1.36046710e+00 3.73530106e-01 9.40876148e-01 5.76013970e+02
2.98828125e+02 4.59138578e-02 1.08798484e+01 2.13776426e+00 1.36661320e+00 3.78284161e-01 9.40283478e-01 5.78251717e+02
3.00292969e+02 4.58481077e-02 1.09189165e+01 2.14769965e+00 1.37279260e+00 3.83130379e-01 9.39691599e-01 5.80500754e+02
3.01757812e+02 4.57794179e-02 1.09576929e+01 2.15772194e+00 1.37900944e+00 3.88020216e-01 9.39101347e-01 5.82763332e+02
3.03222656e+02 4.57082196e-02 1.09961053e+01 2.16783000e+00 1.38526375e+00 3.92891175e-01 9.38512509e-01 5.85039310e+02
3.04687500e+02 4.56356160e-02 1.10342703e+01 2.17803451e+00 1.39156459e+00 3.97884655e-01 9.37926183e-01 5.87333188e+02
3.06152344e+02 4.55624111e-02 1.10720293e+01 2.18831402e+00 1.39789783e+00 4.02995876e-01 9.37340091e-01 5.89637555e+02
3.07617188e+02 4.54892458e-02 1.11139189e+01 2.20175316e+00 1.40742856e+00 4.08972794e-01 9.36717322e-01 5.93263218e+02
3.09082031e+02 4.54161381e-02 1.11546492e+01 2.21187568e+00 1.41366593e+00 4.14109275e-01 9.36083528e-01 5.95489226e+02
3.10546875e+02 4.53430709e-02 1.11950874e+01 2.22209460e+00 1.41995860e+00 4.19358057e-01 9.35451658e-01 5.97736180e+02
3.12011719e+02 4.52701748e-02 1.12352080e+01 2.23240600e+00 1.42630303e+00 4.24663163e-01 9.34821343e-01 6.00002330e+02
3.13476562e+02 4.51965356e-02 1.12751282e+01 2.24281949e+00 1.43270513e+00 4.30014086e-01 9.34193514e-01 6.02290727e+02
3.14941406e+02 4.51221371e-02 1.13149932e+01 2.25334371e+00 1.43917019e+00 4.35530109e-01 9.33569024e-01 6.04604117e+02
3.16406250e+02 4.50478609e-02 1.13546666e+01 2.26396425e+00 1.44568484e+00 4.41096040e-01 9.32946435e-01 6.06935932e+02
3.17871094e+02 4.49725254e-02 1.13941121e+01 2.27468236e+00 1.45224627e+00 4.46600228e-01 9.32325841e-01 6.09285028e+02
3.19335938e+02 4.48953240e-02 1.14333664e+01 2.28550505e+00 1.45885954e+00 4.52202963e-01 9.31707954e-01 6.11653965e+02
3.20800781e+02 4.48180227e-02 1.14723658e+01 2.29642573e+00 1.46552275e+00 4.57884331e-01 9.31092176e-01 6.14041544e+02
3.22265625e+02 4.47418342e-02 1.15154923e+01 2.31066669e+00 1.47550854e+00 4.64611716e-01 9.30453589e-01 6.17801496e+02
3.23730469e+02 4.46668282e-02 1.15581859e+01 2.32147906e+00 1.48211709e+00 4.70306796e-01 9.29795561e-01 6.20129650e+02
3.25195312e+02 4.45929189e-02 1.16004570e+01 2.33238547e+00 1.48877671e+00 4.76125641e-01 9.29138868e-01 6.22476137e+02
3.26660156e+02 4.45187587e-02 1.16424158e+01 2.34338938e+00 1.49548892e+00 4.82028327e-01 9.28483951e-01 6.24841855e+02
3.28125000e+02 4.44438476e-02 1.16841659e+01 2.35449700e+00 1.50225827e+00 4.87994958e-01 9.27831540e-01 6.27229174e+02
3.29589844e+02 4.43695137e-02 1.17256049e+01 2.36569771e+00 1.50907882e+00 4.93994446e-01 9.27180762e-01 6.29634983e+02
3.31054688e+02 4.42975499e-02 1.17668267e+01 2.37699991e+00 1.51595703e+00 5.00026298e-01 9.26532483e-01 6.32062545e+02
3.32519531e+02 4.42282823e-02 1.18077963e+01 2.38839848e+00 1.52288855e+00 5.06085939e-01 9.25886215e-01 6.34509682e+02
3.33984375e+02 4.41593973e-02 1.18484119e+01 2.39988436e+00 1.52986524e+00 5.12130394e-01 9.25241046e-01 6.36972352e+02
3.35449219e+02 4.40894693e-02 1.18888480e+01 2.41147850e+00 1.53690063e+00 5.18179072e-01 9.24598887e-01 6.39457477e+02
3.36914062e+02 4.40184026e-02 1.19336334e+01 2.42640757e+00 1.54729126e+00 5.25373022e-01 9.23929458e-01 6.43314590e+02
