x utau delta99 delta* theta beta Ue Reth 
2.65136719e+02 4.75820948e-02 9.81036671e+00 1.90850652e+00 1.21579003e+00 2.56545088e-01 9.61782990e-01 5.26196776e+02
2.66601562e+02 4.75162499e-02 9.84760450e+00 1.91687238e+00 1.22107447e+00 2.60913691e-01 9.61281101e-01 5.28208116e+02
2.68066406e+02 4.74513536e-02 9.88461658e+00 1.92532098e+00 1.22641124e+00 2.65367794e-01 9.60779716e-01 5.30239970e+02
2.69531250e+02 4.73868036e-02 9.92134455e+00 1.93385002e+00 1.23179651e+00 2.69833764e-01 9.60278492e-01 5.32290462e+02
2.70996094e+02 4.73224369e-02 9.95782472e+00 1.94246672e+00 1.23723415e+00 2.74301900e-01 9.59778102e-01 5.34361608e+02
2.72460938e+02 4.72583536e-02 9.99408716e+00 1.95117270e+00 1.24272434e+00 2.78913699e-01 9.59278703e-01 5.36453549e+02
2.73925781e+02 4.71943984e-02 1.00301087e+01 1.95995917e+00 1.24825845e+00 2.83701470e-01 9.58779439e-01 5.38562042e+02
2.75390625e+02 4.71292239e-02 1.00660044e+01 1.96883135e+00 1.25383805e+00 2.88548391e-01 9.58280962e-01 5.40688108e+02
2.76855469e+02 4.70624354e-02 1.01019339e+01 1.97780492e+00 1.25947383e+00 2.93394461e-01 9.57784916e-01 5.42837268e+02
2.78320312e+02 4.69951007e-02 1.01377554e+01 1.98687253e+00 1.26516125e+00 2.98284102e-01 9.57290281e-01 5.45006954e+02
2.79785156e+02 4.69284058e-02 1.01748111e+01 1.99905483e+00 1.27388584e+00 3.03911058e-01 9.56800326e-01 5.48484476e+02
2.81250000e+02 4.68617335e-02 1.02132837e+01 2.00798040e+00 1.27948564e+00 3.08869261e-01 9.56254116e-01 5.50581035e+02
2.82714844e+02 4.67936160e-02 1.02514211e+01 2.01699438e+00 1.28513116e+00 3.13949536e-01 9.55707897e-01 5.52694501e+02
2.84179688e+02 4.67237002e-02 1.02892483e+01 2.02609663e+00 1.29082087e+00 3.19110142e-01 9.55161592e-01 5.54824133e+02
2.85644531e+02 4.66519001e-02 1.03268647e+01 2.03529585e+00 1.29655998e+00 3.24317010e-01 9.54616115e-01 5.56972671e+02
2.87109375e+02 4.65788500e-02 1.03643571e+01 2.04459824e+00 1.30235310e+00 3.29632267e-01 9.54072176e-01 5.59142484e+02
2.88574219e+02 4.65060848e-02 1.04016537e+01 2.05399391e+00 1.30819478e+00 3.35079976e-01 9.53528735e-01 5.61330591e+02
2.90039062e+02 4.64349618e-02 1.04386768e+01 2.06347661e+00 1.31408213e+00 3.40556765e-01 9.52985024e-01 5.63535265e+02
2.91503906e+02 4.63644167e-02 1.04755359e+01 2.07305980e+00 1.32002432e+00 3.46085898e-01 9.52442466e-01 5.65761248e+02
2.92968750e+02 4.62934020e-02 1.05123235e+01 2.08274800e+00 1.32602512e+00 3.51747866e-01 9.51901645e-01 5.68010472e+02
2.94433594e+02 4.62221093e-02 1.05512625e+01 2.09551340e+00 1.33506429e+00 3.58381479e-01 9.51350697e-01 5.71551456e+02
2.95898438e+02 4.61493227e-02 1.05908451e+01 2.10505028e+00 1.34097876e+00 3.64208370e-01 9.50757038e-01 5.73725249e+02
2.97363281e+02 4.60756880e-02 1.06302173e+01 2.11468757e+00 1.34695322e+00 3.70157271e-01 9.50163863e-01 5.75921822e+02
2.98828125e+02 4.60029248e-02 1.06692995e+01 2.12441712e+00 1.35298276e+00 3.76154304e-01 9.49570294e-01 5.78138509e+02
3.00292969e+02 4.59303691e-02 1.07080986e+01 2.13424466e+00 1.35906956e+00 3.82114230e-01 9.48976845e-01 5.80376495e+02
3.01757812e+02 4.58578991e-02 1.07467852e+01 2.14418764e+00 1.36522311e+00 3.88130387e-01 9.48385272e-01 5.82640872e+02
3.03222656e+02 4.57863997e-02 1.07854346e+01 2.15424902e+00 1.37144319e+00 3.94239643e-01 9.47795846e-01 5.84931671e+02
3.04687500e+02 4.57149867e-02 1.08240357e+01 2.16442999e+00 1.37772857e+00 4.00368130e-01 9.47208653e-01 5.87248392e+02
3.06152344e+02 4.56428936e-02 1.08625465e+01 2.17473157e+00 1.38407747e+00 4.06512334e-01 9.46623777e-01 5.89590288e+02
3.07617188e+02 4.55696342e-02 1.09008545e+01 2.18514159e+00 1.39048000e+00 4.12750769e-01 9.46039878e-01 5.91952289e+02
3.09082031e+02 4.54949885e-02 1.09428288e+01 2.19851551e+00 1.39987373e+00 4.20117821e-01 9.45420023e-01 5.95560895e+02
3.10546875e+02 4.54200751e-02 1.09840855e+01 2.20878928e+00 1.40619390e+00 4.26549021e-01 9.44783670e-01 5.97847065e+02
3.12011719e+02 4.53447304e-02 1.10251515e+01 2.21917927e+00 1.41257845e+00 4.33126493e-01 9.44148575e-01 6.00157769e+02
3.13476562e+02 4.52682560e-02 1.10660612e+01 2.22968698e+00 1.41902905e+00 4.39840734e-01 9.43514956e-01 6.02493808e+02
3.14941406e+02 4.51924432e-02 1.11068383e+01 2.24031691e+00 1.42554993e+00 4.46564340e-01 9.42883282e-01 6.04857237e+02
3.16406250e+02 4.51183239e-02 1.11475429e+01 2.25107542e+00 1.43214406e+00 4.53275595e-01 9.42254147e-01 6.07249656e+02
3.17871094e+02 4.50456865e-02 1.11881841e+01 2.26196175e+00 1.43880825e+00 4.60082964e-01 9.41627445e-01 6.09669600e+02
3.19335938e+02 4.49742755e-02 1.12286735e+01 2.27296757e+00 1.44553440e+00 4.66953838e-01 9.41002437e-01 6.12113125e+02
3.20800781e+02 4.49034261e-02 1.12690199e+01 2.28409226e+00 1.45231965e+00 4.73905469e-01 9.40379195e-01 6.14579035e+02
3.22265625e+02 4.48309517e-02 1.13126245e+01 2.29832486e+00 1.46219683e+00 4.82063262e-01 9.39734000e-01 6.18334235e+02
3.23730469e+02 4.47548119e-02 1.13562331e+01 2.30931490e+00 1.46889403e+00 4.89177333e-01 9.39059138e-01 6.20720262e+02
3.25195312e+02 4.46753799e-02 1.13995473e+01 2.32042595e+00 1.47565381e+00 4.96394798e-01 9.38385398e-01 6.23129396e+02
3.26660156e+02 4.45954093e-02 1.14425708e+01 2.33165757e+00 1.48247697e+00 5.03705071e-01 9.37712677e-01 6.25561853e+02
